X,Y,Z
0.094938,-0.140343,0.319756
-0.062527,-0.11527,0.268714
-0.223111,-0.083803,0.171431
-0.366992,-0.051775,0.086194
-0.480789,-0.025848,0.059716
-0.556808,-0.010132,0.101657
-0.590689,-0.00528,0.181891
-0.580192,-0.00966,0.247402
-0.525553,-0.021057,0.250713
-0.430647,-0.037402,0.175691
-0.303341,-0.055944,0.047365
-0.153963,-0.072649,-0.077685
0.006539,-0.083347,-0.139979
0.167106,-0.085202,-0.109306
0.316127,-0.076884,-0.002835
0.44118,-0.058092,0.119861
0.530003,-0.029797,0.187906
0.573074,0.004164,0.156164
0.566098,0.034804,0.026794
0.510742,0.048463,-0.150596
0.414154,0.032761,-0.30128
0.288056,-0.015683,-0.358456
0.147415,-0.086916,-0.294071
0.008407,-0.159249,-0.135206
-0.113863,-0.2077,0.045198
-0.207251,-0.214537,0.159327
-0.263497,-0.176522,0.148063
-0.278121,-0.106084,0.014033
-0.250639,-0.025011,-0.178223
-0.185996,0.045335,-0.331729
-0.095474,0.09255,-0.365611
0.004953,0.116468,-0.257433
-0.183606,-0.171411,-0.173508
-0.188729,-0.175341,-0.176671
-0.185223,-0.165732,-0.156338
-0.179043,-0.145834,-0.114345
-0.175305,-0.119417,-0.058796
-0.177018,-0.089059,-0.00105
-0.184487,-0.056149,0.049123
-0.195447,-0.021893,0.086905
-0.205833,0.011752,0.111722
-0.210974,0.041924,0.124607
-0.206373,0.065756,0.126431
-0.187593,0.081524,0.118167
-0.150346,0.089215,0.102794
-0.092007,0.090434,0.086055
-0.014125,0.087762,0.073886
0.075594,0.083875,0.068765
0.164393,0.080708,0.068114
0.24005,0.07893,0.06569
0.296485,0.077974,0.055602
0.334617,0.076499,0.035975
0.359006,0.073104,0.009411
0.372833,0.067012,-0.019342
0.375563,0.058439,-0.046904
0.365974,0.048505,-0.073111
0.346176,0.038657,-0.09919
0.321702,0.029964,-0.124367
0.297872,0.022712,-0.143893
0.274803,0.0165,-0.150126
0.245239,0.010845,-0.136879
0.198502,0.005735,-0.103584
0.128015,0.00158,-0.055925
0.037796,-0.001261,-0.003711
-0.057397,-0.003044,0.042452
-0.141151,-0.004872,0.07434
-0.205958,-0.008353,0.088256
-0.25643,-0.014947,0.085854
-0.303897,-0.025345,0.073195
-0.355237,-0.039069,0.05801
-0.405733,-0.054425,0.045623
-0.443177,-0.068873,0.03606
-0.455586,-0.079798,0.024812
-0.434153,-0.085284,0.006495
-0.373101,-0.084542,-0.020436
